city_or_county,n_killed,n_injured
Abbeville,7,20
Abbotsford,4,2
Abbott,2,0
Abbott Township,0,1
Abbottstown,0,0
Abercrombie,0,1
Aberdeen,17,38
Abilene,25,49
Abingdon,5,6
Abington,2,3
Abita Springs,0,0
Absecon,3,5
Absecon (Galloway),0,1
Acadia,0,0
Acampo,1,2
Accokeek,2,0
Accomac,0,3
Achille,0,0
Acme,1,0
Acton,1,0
Acushnet,0,0
Acworth,9,11
Ada,5,7
Ada (Byng),1,0
Adairsville,2,0
Adams,4,1
Adams Run,2,1
Adamsville,1,6
Addis,1,0
Addison,3,2
Adel,4,6
Adelanto,4,1
Adelphi,0,1
Adger,1,1
Adkins,1,0
Adrian,3,6
Advance,0,1
Advance (Bermuda Run),0,1
Affton,2,0
Afton,1,5
Agate,1,0
Agawam,0,1
Agoura Hills,0,0
Agra,0,0
Agua Dulce,0,1
Agua Fria,0,0
Aguanga,1,0
Ahoskie,3,5
Ahsahka,1,0
Aiea,2,0
Aiken,26,82
Aiken County,1,0
Airway Heights,0,0
Aitken,0,0
Aitkin,3,0
Ajo,0,0
Akiachak,0,0
Akiak,0,0
Akron,102,197
Akron (East Akron),0,2
Akron (Newstead),0,0
Ala Moana,0,0
Alabaster,1,1
Alachua,1,11
Alakanuk,1,3
Alamance,0,1
Alameda,4,6
Alameda County,0,2
Alamo,2,2
Alamogordo,8,6
Alamosa,0,1
Alapaha,0,1
Albany,63,222
Albany (Colonie),1,1
Albany (Loudonville),0,0
Albemarle,9,16
Albert Lea,2,3
Albert Lea (Oakland),0,1
Alberta,1,1
Albertville,3,10
Albion,2,10
Albright,0,0
Albuquerque,233,288
Albuquerque (Los Ranchos De Albuquerque),0,0
Albuquerque (Los Ranchos),0,0
Albuquerque (Manzano),1,0
Alburgh,0,1
Alcoa,4,2
Alcona,0,1
Alcorn,0,2
Alcova,0,0
Alden,2,0
Alderpoint,3,3
Alderson,2,4
Aldie,3,0
Aledo,3,0
Aleknagik,0,0
Aleppo,2,0
Alex,0,0
Alexander,2,2
Alexander City,10,7
Alexandria,54,89
Alexandria (Fort Hunt),1,0
Alexandria (Franconia),0,1
Alexandria (Tanglewood),0,0
Alexandria Bay,0,0
Alexandria Bay (Alexandria),0,0
Alexis,3,0
Alford,1,0
Alfred,0,0
Alfred (Lyman),0,0
Algiers,2,8
Algodones,4,1
Algonquin,0,1
Alhambra,3,2
